"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd"
1,60,"RL",65,8450,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd"
2,20,"RL",80,9600,"Pave",NA,"Reg","Lvl","AllPub","FR2","Gtl","Veenker","Feedr","Norm","1Fam","1Story",6,8,1976,1976,"Gable","CompShg","MetalSd","MetalSd"
3,60,"RL",68,11250,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2001,2002,"Gable","CompShg","VinylSd","VinylSd"
4,70,"RL",60,9550,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","Crawfor","Norm","Norm","1Fam","2Story",7,5,1915,1970,"Gable","CompShg","Wd Sdng","Wd Shng"
5,60,"RL",84,14260,"Pave",NA,"IR1","Lvl","AllPub","FR2","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd"
6,50,"RL",85,14115,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","1Fam","1.5Fin",5,5,1993,1995,"Gable","CompShg","VinylSd","VinylSd"
7,20,"RL",75,10084,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd"
8,60,"RL",NA,10382,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","NWAmes","PosN","Norm","1Fam","2Story",7,6,1973,1973,"Gable","CompShg","HdBoard","HdBoard"
9,50,"RM",51,6120,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1.5Fin",7,5,1931,1950,"Gable","CompShg","BrkFace","Wd Shng"
10,190,"RL",50,7420,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Artery","Artery","2fmCon","1.5Unf",5,6,1939,1950,"Gable","CompShg","MetalSd","MetalSd"
11,20,"RL",70,11200,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,5,1965,1965,"Hip","CompShg","HdBoard","HdBoard"
12,60,"RL",85,11924,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",9,5,2005,2006,"Hip","CompShg","WdShing","Wd Shng"
13,20,"RL",NA,12968,"Pave",NA,"IR2","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,6,1962,1962,"Hip","CompShg","HdBoard","Plywood"
14,20,"RL",91,10652,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2006,2007,"Gable","CompShg","VinylSd","VinylSd"
