"Id","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","SaleCondition"
1,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2003,1,"Gd",8,"Typ",0,NA,"Attchd",2003,"Normal"
2,"Reg","Lvl","AllPub","FR2","Gtl","Veenker","Feedr","Norm","1Fam","1Story",6,8,1976,1,"TA",6,"Typ",1,"TA","Attchd",1976,"Normal"
3,"IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2001,1,"Gd",6,"Typ",1,"TA","Attchd",2001,"Normal"
4,"IR1","Lvl","AllPub","Corner","Gtl","Crawfor","Norm","Norm","1Fam","2Story",7,5,1915,1,"Gd",7,"Typ",1,"Gd","Detchd",1998,"Abnorml"
5,"IR1","Lvl","AllPub","FR2","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,5,2000,1,"Gd",9,"Typ",1,"TA","Attchd",2000,"Normal"
6,"IR1","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","1Fam","1.5Fin",5,5,1993,1,"TA",5,"Typ",0,NA,"Attchd",1993,"Normal"
7,"Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,2004,1,"Gd",7,"Typ",1,"Gd","Attchd",2004,"Normal"
8,"IR1","Lvl","AllPub","Corner","Gtl","NWAmes","PosN","Norm","1Fam","2Story",7,6,1973,1,"TA",7,"Typ",2,"TA","Attchd",1973,"Normal"
9,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1.5Fin",7,5,1931,2,"TA",8,"Min1",2,"TA","Detchd",1931,"Abnorml"
10,"Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Artery","Artery","2fmCon","1.5Unf",5,6,1939,2,"TA",5,"Typ",2,"TA","Attchd",1939,"Normal"
500,"IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,1958,1,"TA",5,"Typ",0,NA,"Attchd",1958,"Normal"
501,"Reg","Lvl","AllPub","Inside","Gtl","BrDale","Norm","Norm","Twnhs","2Story",6,5,1973,1,"TA",7,"Typ",0,NA,"Detchd",1973,"Normal"
502,"Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story",7,5,2005,1,"Gd",7,"Typ",0,NA,"Attchd",2005,"Normal"
503,"Reg","Lvl","AllPub","Corner","Gtl","Edwards","Feedr","Norm","1Fam","1Story",5,7,1965,1,"TA",6,"Typ",0,NA,"Detchd",1965,"Normal"
504,"IR1","Lvl","AllPub","Inside","Gtl","Crawfor","Norm","Norm","1Fam","1Story",7,8,1959,1,"TA",6,"Typ",2,"TA","Attchd",1959,"Normal"
505,"Reg","Lvl","AllPub","Inside","Gtl","NPkVill","Norm","Norm","TwnhsE","2Story",6,5,1974,1,"TA",6,"Typ",1,"Fa","Attchd",1974,"Normal"
506,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","Duplex","2Story",5,5,1952,2,"TA",10,"Typ",0,NA,"Detchd",1952,"Normal"
507,"IR1","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","2Story",8,5,1993,1,"Gd",8,"Typ",1,"TA","Attchd",1993,"Normal"
508,"IR1","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",6,5,2009,1,"Gd",4,"Typ",0,NA,"Attchd",2009,"Partial"
509,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","2Story",7,9,1928,1,"Gd",7,"Typ",1,"Gd","Detchd",1928,"Normal"
510,"Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1959,1,"TA",6,"Typ",0,NA,"Attchd",1959,"Normal"
511,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,1951,1,"TA",6,"Min1",2,"TA","CarPort",1951,"Normal"
512,"IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story",7,5,2005,1,"Gd",6,"Typ",1,"Gd","Attchd",2005,"Partial"
513,"Reg","Lvl","AllPub","Corner","Gtl","NAmes","Feedr","Norm","1Fam","1Story",5,5,1958,1,"TA",5,"Typ",0,NA,"Detchd",1964,"Normal"
514,"Reg","Bnk","AllPub","Corner","Gtl","Mitchel","Norm","Norm","1Fam","1Story",6,5,1983,1,"TA",5,"Typ",0,NA,"Attchd",1983,"Normal"
515,"Reg","Lvl","AllPub","Inside","Gtl","Crawfor","Norm","Norm","1Fam","1.5Unf",5,5,1926,1,"TA",5,"Typ",0,NA,"Detchd",1926,"Normal"
516,"Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",10,5,2009,1,"Ex",9,"Typ",1,"Gd","Attchd",2009,"Partial"
