"fecha","cp","tipo","transacciones","importe","importetotal","mes"
"2015-01-01",48004,"pharmacy",3,15.4,46.2,1
"2015-01-01",48005,"pharmacy",4,12.19,48.76,1
"2015-01-01",48005,"restaurant",2,50.4,100.8,1
"2015-01-01",48008,"pharmacy",10,34.27,342.7,1
"2015-01-01",48008,"restaurant",5,60.91,304.55,1
"2015-01-01",48009,"restaurant",17,80.51,1368.67,1
"2015-01-01",48009,"beauty",6,127.5,765,1
"2015-01-01",48009,"foodsme",1,34.92,34.92,1
"2015-01-01",48013,"restaurant",1,123.92,123.92,1
"2015-01-02",48001,"restaurant",53,69.42,3679.26,1
"2015-01-02",48001,"fashionsme",30,59.04,1771.2,1
"2015-01-02",48001,"beauty",23,90.07,2071.61,1
"2015-01-02",48001,"foodsme",20,87.16,1743.2,1
"2015-01-02",48001,"pharmacy",13,37.93,493.09,1
"2015-01-02",48002,"pharmacy",5,20.13,100.65,1
"2015-01-02",48002,"fashionsme",4,44.63,178.52,1
"2015-01-02",48002,"beauty",3,43.08,129.24,1
"2015-01-02",48002,"foodsme",1,15.46,15.46,1
"2015-01-02",48002,"restaurant",1,50.16,50.16,1
"2015-01-02",48003,"foodsme",10,16.73,167.3,1
"2015-01-02",48003,"restaurant",7,76.49,535.43,1
"2015-01-02",48003,"pharmacy",7,31.29,219.03,1
"2015-01-02",48003,"beauty",5,62.12,310.6,1
"2015-01-02",48003,"fashionsme",4,41.16,164.64,1
"2015-01-02",48004,"fashionsme",23,74.32,1709.36,1
"2015-01-02",48004,"pharmacy",15,42.16,632.4,1
"2015-01-02",48004,"beauty",13,54.98,714.74,1
"2015-01-02",48004,"foodsme",12,38.11,457.32,1
"2015-01-02",48004,"restaurant",2,21.35,42.7,1
"2015-01-02",48005,"fashionsme",143,54.19,7749.17,1
"2015-01-02",48005,"restaurant",18,39.95,719.1,1
"2015-01-02",48005,"foodsme",16,30.57,489.12,1
"2015-01-02",48005,"pharmacy",10,25.65,256.5,1
"2015-01-02",48005,"beauty",4,91.96,367.84,1
"2015-01-02",48006,"pharmacy",11,35.55,391.05,1
"2015-01-02",48006,"fashionsme",11,60.43,664.73,1
"2015-01-02",48006,"foodsme",4,44.51,178.04,1
"2015-01-02",48006,"beauty",4,92.25,369,1
"2015-01-02",48006,"restaurant",3,71.57,214.71,1
"2015-01-02",48007,"fashionsme",23,73.41,1688.43,1
"2015-01-02",48007,"pharmacy",14,33.04,462.56,1
"2015-01-02",48007,"beauty",9,71.17,640.53,1
"2015-01-02",48007,"restaurant",2,96.85,193.7,1
"2015-01-02",48007,"foodsme",1,17.55,17.55,1
"2015-01-02",48008,"fashionsme",97,108.31,10506.07,1
"2015-01-02",48008,"restaurant",39,44.29,1727.31,1
"2015-01-02",48008,"pharmacy",33,46.49,1534.17,1
"2015-01-02",48008,"foodsme",20,49.78,995.6,1
"2015-01-02",48008,"beauty",9,33.68,303.12,1
"2015-01-02",48009,"fashionsme",204,123.84,25263.36,1
"2015-01-02",48009,"restaurant",40,82.72,3308.8,1
"2015-01-02",48009,"beauty",22,75.17,1653.74,1
"2015-01-02",48009,"pharmacy",16,23.34,373.44,1
"2015-01-02",48009,"foodsme",15,40.69,610.35,1
"2015-01-02",48010,"beauty",32,52.73,1687.36,1
"2015-01-02",48010,"fashionsme",31,59.6,1847.6,1
"2015-01-02",48010,"pharmacy",11,30.4,334.4,1
"2015-01-02",48010,"foodsme",11,25.24,277.64,1
"2015-01-02",48010,"restaurant",9,64.37,579.33,1
"2015-01-02",48011,"fashionsme",361,93.13,33619.93,1
"2015-01-02",48011,"restaurant",39,99.12,3865.68,1
"2015-01-02",48011,"pharmacy",23,27.05,622.15,1
"2015-01-02",48011,"beauty",19,99.59,1892.21,1
"2015-01-02",48011,"foodsme",9,28.97,260.73,1
"2015-01-02",48012,"fashionsme",19,41.71,792.49,1
"2015-01-02",48012,"pharmacy",16,31.34,501.44,1
"2015-01-02",48012,"foodsme",6,58.61,351.66,1
"2015-01-02",48012,"beauty",5,33.86,169.3,1
"2015-01-02",48012,"restaurant",4,34.74,138.96,1
"2015-01-02",48013,"pharmacy",18,32.24,580.32,1
"2015-01-02",48013,"beauty",12,56.49,677.88,1
"2015-01-02",48013,"foodsme",12,34.24,410.88,1
"2015-01-02",48013,"restaurant",12,66.15,793.8,1
"2015-01-02",48013,"fashionsme",6,328.53,1971.18,1
"2015-01-02",48014,"pharmacy",27,38.34,1035.18,1
"2015-01-02",48014,"foodsme",23,29.65,681.95,1
"2015-01-02",48014,"fashionsme",17,55.06,936.02,1
"2015-01-02",48014,"beauty",16,75.68,1210.88,1
"2015-01-02",48014,"restaurant",8,35.5,284,1
"2015-01-02",48015,"pharmacy",14,24.58,344.12,1
"2015-01-02",48015,"beauty",13,50.33,654.29,1
"2015-01-02",48015,"fashionsme",9,51.67,465.03,1
"2015-01-02",48015,"foodsme",6,27.55,165.3,1
"2015-01-02",48015,"restaurant",2,47.08,94.16,1
"2015-01-03",48001,"restaurant",51,73.78,3762.78,1
"2015-01-03",48001,"fashionsme",36,110.83,3989.88,1
"2015-01-03",48001,"foodsme",10,80.03,800.3,1
"2015-01-03",48001,"beauty",9,56.13,505.17,1
"2015-01-03",48001,"pharmacy",2,20.38,40.76,1
"2015-01-03",48002,"restaurant",3,26.83,80.49,1
"2015-01-03",48002,"foodsme",3,19.26,57.78,1
"2015-01-03",48002,"beauty",2,10.38,20.76,1
"2015-01-03",48002,"pharmacy",2,59.32,118.64,1
"2015-01-03",48003,"foodsme",11,36.74,404.14,1
"2015-01-03",48003,"restaurant",11,81.01,891.11,1
"2015-01-03",48003,"beauty",5,48.12,240.6,1
"2015-01-03",48003,"pharmacy",3,21.83,65.49,1
"2015-01-03",48004,"fashionsme",29,67.91,1969.39,1
"2015-01-03",48004,"foodsme",15,20.5,307.5,1
"2015-01-03",48004,"beauty",10,29.65,296.5,1
"2015-01-03",48004,"pharmacy",7,21.47,150.29,1
"2015-01-03",48004,"restaurant",4,85.84,343.36,1
"2015-01-03",48005,"fashionsme",133,61.45,8172.85,1
"2015-01-03",48005,"restaurant",39,68.48,2670.72,1
"2015-01-03",48005,"foodsme",22,33,726,1
"2015-01-03",48005,"pharmacy",4,45.83,183.32,1
"2015-01-03",48005,"beauty",2,41.1,82.2,1
"2015-01-03",48006,"fashionsme",14,40.04,560.56,1
"2015-01-03",48006,"foodsme",8,28.6,228.8,1
"2015-01-03",48006,"pharmacy",4,28.04,112.16,1
"2015-01-03",48006,"restaurant",2,116.2,232.4,1
"2015-01-03",48006,"beauty",2,36.07,72.14,1
"2015-01-03",48007,"fashionsme",18,63.9,1150.2,1
"2015-01-03",48007,"beauty",10,38.7,387,1
"2015-01-03",48007,"foodsme",7,23.87,167.09,1
"2015-01-03",48007,"pharmacy",7,16.47,115.29,1
"2015-01-03",48007,"restaurant",3,20.33,60.99,1
"2015-01-03",48008,"fashionsme",74,91.5,6771,1
"2015-01-03",48008,"restaurant",53,55.89,2962.17,1
"2015-01-03",48008,"pharmacy",21,31.05,652.05,1
"2015-01-03",48008,"foodsme",9,65.23,587.07,1
"2015-01-03",48008,"beauty",5,59.52,297.6,1
"2015-01-03",48009,"fashionsme",162,93.74,15185.88,1
"2015-01-03",48009,"restaurant",43,89.25,3837.75,1
"2015-01-03",48009,"foodsme",19,34.87,662.53,1
"2015-01-03",48009,"beauty",12,55.45,665.4,1
"2015-01-03",48009,"pharmacy",8,25.72,205.76,1
"2015-01-03",48010,"restaurant",17,84.85,1442.45,1
"2015-01-03",48010,"fashionsme",15,51.78,776.7,1
"2015-01-03",48010,"foodsme",14,36.59,512.26,1
"2015-01-03",48010,"beauty",11,40.25,442.75,1
"2015-01-03",48010,"pharmacy",3,46.95,140.85,1
"2015-01-03",48011,"fashionsme",279,103.69,28929.51,1
"2015-01-03",48011,"restaurant",39,64.32,2508.48,1
"2015-01-03",48011,"pharmacy",14,17.99,251.86,1
"2015-01-03",48011,"beauty",10,58.01,580.1,1
"2015-01-03",48011,"foodsme",9,52.43,471.87,1
"2015-01-03",48012,"fashionsme",29,32.74,949.46,1
"2015-01-03",48012,"pharmacy",8,18,144,1
"2015-01-03",48012,"foodsme",5,29.1,145.5,1
"2015-01-03",48012,"restaurant",5,110.39,551.95,1
"2015-01-03",48012,"beauty",1,37.5,37.5,1
"2015-01-03",48013,"foodsme",14,43.56,609.84,1
"2015-01-03",48013,"restaurant",8,129.4,1035.2,1
