"Id","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition"
1,1,3,1,"Gd",8,"Typ",0,NA,"Attchd",2003,"RFn",2,548,"TA","TA","Y",0,61,0,0,0,0,NA,NA,NA,0,2,2008,"WD","Normal"
2,0,3,1,"TA",6,"Typ",1,"TA","Attchd",1976,"RFn",2,460,"TA","TA","Y",298,0,0,0,0,0,NA,NA,NA,0,5,2007,"WD","Normal"
3,1,3,1,"Gd",6,"Typ",1,"TA","Attchd",2001,"RFn",2,608,"TA","TA","Y",0,42,0,0,0,0,NA,NA,NA,0,9,2008,"WD","Normal"
4,0,3,1,"Gd",7,"Typ",1,"Gd","Detchd",1998,"Unf",3,642,"TA","TA","Y",0,35,272,0,0,0,NA,NA,NA,0,2,2006,"WD","Abnorml"
5,1,4,1,"Gd",9,"Typ",1,"TA","Attchd",2000,"RFn",3,836,"TA","TA","Y",192,84,0,0,0,0,NA,NA,NA,0,12,2008,"WD","Normal"
6,1,1,1,"TA",5,"Typ",0,NA,"Attchd",1993,"Unf",2,480,"TA","TA","Y",40,30,0,320,0,0,NA,"MnPrv","Shed",700,10,2009,"WD","Normal"
7,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2004,"RFn",2,636,"TA","TA","Y",255,57,0,0,0,0,NA,NA,NA,0,8,2007,"WD","Normal"
8,1,3,1,"TA",7,"Typ",2,"TA","Attchd",1973,"RFn",2,484,"TA","TA","Y",235,204,228,0,0,0,NA,NA,"Shed",350,11,2009,"WD","Normal"
9,0,2,2,"TA",8,"Min1",2,"TA","Detchd",1931,"Unf",2,468,"Fa","TA","Y",90,0,205,0,0,0,NA,NA,NA,0,4,2008,"WD","Abnorml"
10,0,2,2,"TA",5,"Typ",2,"TA","Attchd",1939,"RFn",1,205,"Gd","TA","Y",0,4,0,0,0,0,NA,NA,NA,0,1,2008,"WD","Normal"
11,0,3,1,"TA",5,"Typ",0,NA,"Detchd",1965,"Unf",1,384,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,2,2008,"WD","Normal"
12,0,4,1,"Ex",11,"Typ",2,"Gd","BuiltIn",2005,"Fin",3,736,"TA","TA","Y",147,21,0,0,0,0,NA,NA,NA,0,7,2006,"New","Partial"
13,0,2,1,"TA",4,"Typ",0,NA,"Detchd",1962,"Unf",1,352,"TA","TA","Y",140,0,0,0,176,0,NA,NA,NA,0,9,2008,"WD","Normal"
14,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2006,"RFn",3,840,"TA","TA","Y",160,33,0,0,0,0,NA,NA,NA,0,8,2007,"New","Partial"
15,1,2,1,"TA",5,"Typ",1,"Fa","Attchd",1960,"RFn",1,352,"TA","TA","Y",0,213,176,0,0,0,NA,"GdWo",NA,0,5,2008,"WD","Normal"
16,0,2,1,"TA",5,"Typ",0,NA,"Detchd",1991,"Unf",2,576,"TA","TA","Y",48,112,0,0,0,0,NA,"GdPrv",NA,0,7,2007,"WD","Normal"
17,0,2,1,"TA",5,"Typ",1,"TA","Attchd",1970,"Fin",2,480,"TA","TA","Y",0,0,0,0,0,0,NA,NA,"Shed",700,3,2010,"WD","Normal"
18,0,2,2,"TA",6,"Typ",0,NA,"CarPort",1967,"Unf",2,516,"TA","TA","Y",0,0,0,0,0,0,NA,NA,"Shed",500,10,2006,"WD","Normal"
19,1,3,1,"Gd",6,"Typ",0,NA,"Detchd",2004,"Unf",2,576,"TA","TA","Y",0,102,0,0,0,0,NA,NA,NA,0,6,2008,"WD","Normal"
20,0,3,1,"TA",6,"Min1",0,NA,"Attchd",1958,"Unf",1,294,"TA","TA","Y",0,0,0,0,0,0,NA,"MnPrv",NA,0,5,2009,"COD","Abnorml"
21,1,4,1,"Gd",9,"Typ",1,"Gd","BuiltIn",2005,"RFn",3,853,"TA","TA","Y",240,154,0,0,0,0,NA,NA,NA,0,11,2006,"New","Partial"
22,0,3,1,"Gd",6,"Typ",1,"Gd","Attchd",1930,"Unf",1,280,"TA","TA","N",0,0,205,0,0,0,NA,"GdPrv",NA,0,6,2007,"WD","Normal"
23,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2002,"RFn",2,534,"TA","TA","Y",171,159,0,0,0,0,NA,NA,NA,0,9,2008,"WD","Normal"
24,0,3,1,"TA",6,"Typ",1,"TA","Attchd",1976,"Unf",2,572,"TA","TA","Y",100,110,0,0,0,0,NA,NA,NA,0,6,2007,"WD","Normal"
25,0,3,1,"Gd",6,"Typ",1,"TA","Attchd",1968,"Unf",1,270,"TA","TA","Y",406,90,0,0,0,0,NA,"MnPrv",NA,0,5,2010,"WD","Normal"
26,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2007,"RFn",3,890,"TA","TA","Y",0,56,0,0,0,0,NA,NA,NA,0,7,2009,"WD","Normal"
27,0,3,1,"Gd",5,"Typ",0,NA,"Detchd",2005,"Unf",2,576,"TA","TA","Y",222,32,0,0,0,0,NA,NA,NA,0,5,2010,"WD","Normal"
28,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2008,"RFn",3,772,"TA","TA","Y",0,50,0,0,0,0,NA,NA,NA,0,5,2010,"WD","Normal"
29,0,2,1,"TA",6,"Typ",2,"Gd","Attchd",1957,"RFn",1,319,"TA","TA","Y",288,258,0,0,0,0,NA,NA,NA,0,12,2006,"WD","Normal"
30,0,1,1,"Fa",4,"Typ",0,NA,"Detchd",1920,"Unf",1,240,"Fa","TA","Y",49,0,87,0,0,0,NA,NA,NA,0,5,2008,"WD","Normal"
31,0,3,1,"TA",6,"Typ",0,NA,"Detchd",1920,"Unf",1,250,"TA","Fa","N",0,54,172,0,0,0,NA,"MnPrv",NA,0,7,2008,"WD","Normal"
32,1,3,1,"Gd",6,"Typ",0,NA,"Attchd",1966,"Unf",1,271,"TA","TA","Y",0,65,0,0,0,0,NA,"MnPrv",NA,0,6,2008,"WD","Normal"
33,0,3,1,"Gd",7,"Typ",0,NA,"Attchd",2007,"RFn",2,484,"TA","TA","Y",0,30,0,0,0,0,NA,NA,NA,0,1,2008,"WD","Normal"
34,1,4,1,"Gd",6,"Typ",1,"Gd","Attchd",1959,"RFn",2,447,"TA","TA","Y",0,38,0,0,0,0,NA,NA,NA,0,4,2010,"WD","Normal"
35,0,2,1,"Ex",6,"Typ",1,"Gd","Attchd",2005,"Fin",2,556,"TA","TA","Y",203,47,0,0,0,0,NA,NA,NA,0,8,2007,"WD","Normal"
36,1,4,1,"Gd",9,"Typ",1,"Gd","BuiltIn",2004,"Fin",3,691,"TA","TA","Y",113,32,0,0,0,0,NA,NA,NA,0,9,2006,"WD","Normal"
37,1,3,1,"TA",6,"Typ",0,NA,"Attchd",1995,"Unf",2,672,"TA","TA","Y",392,64,0,0,0,0,NA,NA,NA,0,6,2009,"WD","Normal"
38,0,3,1,"TA",5,"Typ",1,"TA","Attchd",1954,"Fin",2,498,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,10,2009,"WD","Normal"
39,0,3,1,"Gd",5,"Typ",0,NA,"Detchd",1953,"Unf",1,246,"TA","TA","Y",0,52,0,0,0,0,NA,NA,NA,0,1,2010,"WD","Abnorml"
40,0,2,2,"Fa",6,"Typ",0,NA,NA,NA,NA,0,0,NA,NA,"N",0,0,0,0,0,0,NA,NA,NA,0,6,2008,"WD","AdjLand"
41,0,3,1,"TA",6,"Typ",1,"TA","Attchd",1965,"RFn",2,440,"TA","TA","Y",0,138,0,0,0,0,NA,"GdWo",NA,0,12,2006,"WD","Abnorml"
42,1,2,1,"TA",5,"Typ",2,"Gd","Attchd",1959,"RFn",1,308,"TA","TA","P",0,104,0,0,0,0,NA,NA,NA,0,7,2007,"WD","Normal"
43,0,2,1,"Gd",5,"Typ",0,NA,"Attchd",1983,"RFn",2,504,"TA","Gd","Y",240,0,0,0,0,0,NA,"MnPrv",NA,0,12,2007,"WD","Normal"
44,0,3,1,"TA",5,"Typ",0,NA,"Detchd",1977,"Unf",1,308,"TA","TA","Y",145,0,0,0,0,0,NA,"MnPrv",NA,0,7,2008,"WD","Normal"
45,0,3,1,"TA",6,"Typ",0,NA,"Attchd",1959,"RFn",1,300,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,5,2006,"WD","Normal"
46,0,2,1,"Ex",6,"Typ",1,"Gd","Attchd",2005,"RFn",2,576,"TA","TA","Y",196,82,0,0,0,0,NA,NA,NA,0,2,2010,"WD","Normal"
47,1,1,1,"Gd",6,"Typ",1,"Ex","Attchd",2003,"RFn",2,670,"TA","TA","Y",168,43,0,0,198,0,NA,NA,NA,0,8,2009,"WD","Abnorml"
48,0,3,1,"Gd",7,"Typ",0,NA,"Attchd",2006,"RFn",3,826,"TA","TA","Y",0,146,0,0,0,0,NA,NA,NA,0,7,2007,"WD","Normal"
49,0,2,3,"TA",8,"Typ",0,NA,NA,NA,NA,0,0,NA,NA,"N",0,0,102,0,0,0,NA,NA,NA,0,6,2009,"New","Partial"
50,0,3,1,"TA",6,"Typ",0,NA,"Attchd",1966,"Unf",1,386,"TA","TA","Y",0,0,0,0,0,0,NA,"MnPrv",NA,0,1,2007,"WD","Normal"
51,0,3,1,"TA",6,"Typ",0,NA,"Attchd",1997,"Fin",2,388,"TA","TA","Y",0,75,0,0,0,0,NA,NA,NA,0,7,2007,"WD","Normal"
52,0,3,1,"TA",6,"Typ",1,"Gd","Detchd",1985,"Unf",2,528,"TA","TA","Y",112,0,0,0,0,0,NA,"MnPrv","Shed",400,9,2006,"WD","Normal"
