"Int.l.Plan","VMail.Plan","VMail.Message","Id"
"no","no",0,11
"no","no",0,16
"no","no",0,22
"no","no",0,34
"yes","yes",41,42
"no","no",0,49
"no","no",0,55
"no","yes",30,58
"no","no",0,70
"no","no",0,77
"no","no",0,78
"no","no",0,85
"no","no",0,87
"no","no",0,90
"no","no",0,92
"no","no",0,99
"no","no",0,100
"yes","yes",42,116
"no","no",0,118
"no","no",0,127
"no","yes",27,128
"yes","no",0,145
"no","no",0,157
"no","no",0,182
"no","no",0,198
"yes","yes",26,199
"yes","no",0,215
"no","no",0,219
"yes","no",0,231
"no","no",0,236
"yes","no",0,242
"no","no",0,245
"no","yes",29,251
"yes","no",0,259
"no","yes",48,278
"no","no",0,290
"no","yes",37,294
"no","no",0,302
"no","no",0,303
"no","no",0,307
"no","no",0,308
"no","no",0,311
"yes","yes",32,320
"no","no",0,332
"no","no",0,333
"no","no",0,341
"no","no",0,350
"yes","no",0,355
"yes","no",0,361
"no","no",0,366
"yes","no",0,373
"yes","no",0,379
"no","no",0,395
"no","no",0,398
"no","no",0,400
"no","no",0,408
"no","no",0,416
"yes","no",0,417
"no","no",0,431
"no","no",0,438
"no","no",0,455
"no","no",0,456
"yes","no",0,466
"no","yes",36,467
"no","yes",33,474
"yes","no",0,492
"yes","no",0,493
"yes","no",0,499
"yes","no",0,503
"no","no",0,508
"no","yes",26,510
"yes","yes",29,515
"no","no",0,522
"yes","yes",20,543
"yes","no",0,547
"yes","yes",41,548
"no","no",0,551
"no","no",0,553
"no","no",0,559
"yes","yes",32,570
"no","no",0,575
"no","no",0,581
"no","no",0,585
"no","no",0,589
"yes","no",0,602
"no","no",0,606
"yes","yes",29,614
"yes","no",0,620
"yes","yes",37,627
"no","no",0,630
"no","no",0,650
"no","no",0,656
"no","no",0,661
"yes","no",0,680
"yes","no",0,716
"no","yes",36,722
"no","no",0,731
"no","no",0,737
"yes","no",0,738
"yes","no",0,767
"yes","yes",28,772
"yes","no",0,774
"no","no",0,788
"yes","yes",33,793
"yes","no",0,798
"no","no",0,816
"yes","no",0,831
"no","no",0,833
"no","no",0,847
"yes","no",0,852
"no","no",0,860
"no","no",0,872
"no","yes",27,893
"no","no",0,895
"no","no",0,902
"no","no",0,905
"no","no",0,906
"no","no",0,912
"no","no",0,915
"yes","no",0,934
"no","yes",28,945
"no","no",0,947
"no","yes",22,967
"no","yes",33,969
"no","no",0,976
"no","yes",21,978
"no","no",0,979
"yes","no",0,986
"yes","yes",27,988
"no","no",0,1001
"no","no",0,1019
"yes","no",0,1028
"no","yes",42,1031
"no","no",0,1039
"no","no",0,1078
"no","no",0,1079
"no","no",0,1103
"no","yes",28,1106
"no","no",0,1116
"no","no",0,1122
"no","no",0,1123
"no","no",0,1134
"yes","yes",26,1137
"no","no",0,1143
"no","no",0,1151
"no","no",0,1156
"no","no",0,1183
"yes","no",0,1193
"yes","yes",15,1194
"yes","no",0,1205
"no","no",0,1232
"no","no",0,1233
