"CustServ.Calls","Id"
4,11
4,16
5,22
1,34
0,42
5,49
5,55
3,58
4,70
0,77
4,78
2,85
4,87
1,90
0,92
1,99
2,100
0,116
1,118
4,127
4,128
2,145
0,157
5,182
2,198
4,199
2,215
1,219
0,231
5,236
2,242
0,245
4,251
1,259
2,278
1,290
5,294
1,302
0,303
1,307
4,308
1,311
2,320
1,332
7,333
1,341
4,350
2,355
1,361
1,366
0,373
1,379
0,395
1,398
1,400
4,408
2,416
1,417
2,431
0,438
1,455
1,456
3,466
3,467
4,474
1,492
2,493
4,499
1,503
3,508
5,510
0,515
4,522
9,543
2,547
5,548
4,551
3,553
2,559
2,570
2,575
1,581
0,585
5,589
0,602
2,606
1,614
0,620
0,627
0,630
3,650
5,656
1,661
1,680
1,716
6,722
3,731
5,737
2,738
0,767
5,772
1,774
2,788
1,793
1,798
2,816
3,831
2,833
1,847
3,852
3,860
4,872
1,893
4,895
2,902
1,905
4,906
5,912
0,915
1,934
4,945
2,947
2,967
1,969
0,976
4,978
4,979
1,986
1,988
2,1001
1,1019
1,1028
2,1031
5,1039
4,1078
0,1079
4,1103
2,1106
1,1116
5,1122
1,1123
5,1134
1,1137
6,1143
5,1151
4,1156
3,1183
4,1193
5,1194
1,1205
0,1232
0,1233
4,1241
2,1255
1,1264
4,1270
6,1274
1,1277
0,1279
0,1281
5,1285
2,1300
1,1303
3,1307
1,1311
2,1323
6,1326
2,1328
1,1335
0,1338
4,1340
0,1345
4,1346
1,1347
0,1351
1,1360
1,1365
4,1374
4,1377
3,1393
4,1406
6,1408
3,1421
0,1436
1,1443
2,1455
0,1468
1,1473
3,1485
4,1494
1,1517
0,1529
1,1531
4,1532
0,1533
2,1534
1,1535
4,1538
5,1539
0,1552
2,1586
1,1594
0,1602
1,1615
4,1620
4,1636
6,1639
0,1647
1,1652
1,1654
5,1663
1,1675
0,1680
2,1692
1,1693
7,1695
2,1702
4,1703
1,1705
5,1708
5,1714
2,1719
0,1732
1,1737
2,1740
1,1747
1,1751
0,1753
2,1755
0,1765
4,1766
2,1769
3,1778
0,1785
1,1795
0,1805
1,1838
0,1843
4,1845
2,1846
2,1850
1,1851
5,1852
1,1858
0,1862
0,1863
7,1866
2,1867
1,1870
1,1879
4,1881
0,1882
0,1888
1,1890
0,1893
2,1894
2,1899
1,1904
4,1905
8,1913
6,1920
1,1934
0,1935
3,1936
2,1940
4,1951
0,1955
1,1966
5,1975
2,1978
3,1979
3,1985
1,2002
1,2029
0,2030
2,2034
1,2039
3,2060
0,2070
4,2077
3,2100
2,2104
0,2107
2,2108
4,2113
2,2114
0,2116
0,2119
0,2120
3,2140
1,2143
3,2148
2,2151
2,2156
0,2159
1,2161
3,2165
0,2174
3,2187
4,2188
4,2204
0,2211
0,2214
0,2216
5,2219
4,2238
1,2239
1,2259
2,2268
5,2284
3,2291
4,2325
2,2326
6,2328
3,2336
1,2344
1,2348
2,2355
2,2357
1,2358
4,2370
1,2377
1,2378
9,2381
2,2387
6,2388
1,2389
0,2390
1,2398
1,2402
5,2403
1,2406
1,2408
1,2413
5,2416
2,2420
2,2421
4,2422
6,2429
4,2433
4,2438
2,2452
1,2469
1,2473
3,2480
4,2490
5,2494
5,2516
0,2527
2,2534
2,2536
0,2537
3,2540
1,2543
2,2568
1,2573
1,2574
1,2576
4,2582
1,2592
1,2595
1,2596
0,2600
2,2603
1,2607
0,2615
3,2620
0,2625
1,2630
2,2646
0,2648
4,2661
2,2663
1,2665
1,2667
0,2673
3,2674
4,2678
0,2682
1,2688
0,2695
3,2697
3,2701
1,2709
0,2711
2,2725
0,2732
5,2733
0,2736
2,2746
0,2748
0,2761
4,2773
2,2774
0,2775
3,2785
5,2786
6,2787
0,2795
0,2801
1,2817
0,2820
0,2825
5,2828
4,2829
2,2840
2,2866
0,2869
0,2875
2,2883
1,2885
1,2890
1,2901
4,2902
2,2909
1,2925
2,2926
4,2927
2,2935
0,2937
1,2943
1,2948
0,2951
5,2953
6,2959
5,2961
6,2962
3,2965
1,2969
0,2972
2,2973
7,2980
3,2981
3,2988
2,2990
1,2995
3,3003
3,3020
4,3024
4,3036
2,3046
4,3051
4,3065
3,3071
0,3073
5,3080
2,3094
7,3113
2,3114
4,3126
4,3128
2,3133
5,3145
0,3149
0,3152
4,3158
2,3167
1,3169
4,3170
0,3190
6,3191
0,3192
1,3206
3,3210
3,3225
2,3227
3,3239
1,3242
5,3244
0,3247
4,3248
2,3256
3,3266
2,3269
2,3273
4,3281
4,3288
1,3292
0,3302
4,3305
4,3321
4,3323
5,3324
