CodArea;NomArea;Calle;Portal;Bloque;Piso;Mano;NIA;Ref unica;FechaUlti;LectUlti;TipoLectUlti;FechaAnt;LectAnt;TipoLectAnt;Tarifa;F Alta
03003;AMA-3;1770;0001;;BJ;;422521;1950546;2015-08-05;2021;R;2015-04-27;1996;R;02;2013-12-02
03003;AMA-3;1770;0001;;;;288966;1218508;2015-09-28;31905;R;2015-08-27;31781;R;10;2003-01-01
03003;AMA-3;1770;0001;; 1;DCH;43572;1891949;2014-10-28;94;R;2014-09-25;89;R;02;2012-07-18
03003;AMA-3;1770;0001;;BJ;;422521;1950535;2015-08-06;1455;R;2015-02-05;1439;R;02;2013-12-02
03003;AMA-3;1970;0019;; 1;DCH;379819;1557743;2015-08-06;2050;R;2015-05-05;2002;R;01;2005-12-16
03003;AMA-3;1970;0019;; 2;IZD;105810;1669515;2015-09-09;2725;R;2015-05-05;2699;R;01;2006-12-24
03003;AMA-3;1970;0019;; 4;IZD;105823;887987;2015-08-06;3934;R;2015-05-05;3888;R;01;1998-12-31
03003;AMA-3;1970;0019;; 1;IZD;388068;1899192;2015-08-08;1705;R;2015-05-05;1693;R;01;2012-10-19
03003;AMA-3;1970;0018;;BJ;;111254;1030353;2015-08-06;570;R;2015-04-28;567;R;02;2000-10-28
03003;AMA-3;1970;0018;;BJ;;322536;851635;2015-08-06;840;R;2015-04-29;832;R;02;1998-10-08
03003;AMA-3;1970;0018;; 6;;151100;770574;2015-08-06;3343;R;2015-04-28;3272;R;01;1997-04-30
03003;AMA-3;1970;0018;; 5;IZD;26672;770427;2015-08-06;1211;R;2015-04-28;1192;R;01;1997-04-30
03003;AMA-3;1970;0018;; 5;DCH;161574;770529;2015-08-06;150;R;2015-04-29;136;R;01;1997-04-30
03003;AMA-3;1970;0018;; 4;IZD;285080;1604774;2015-08-06;1529;R;2015-04-28;1506;R;01;2006-04-27
03003;AMA-3;1970;0019;; 2;DCH;105816;887943;2015-08-06;2403;R;2015-05-05;2371;R;01;1998-12-31
03003;AMA-3;1970;0019;; 5;DCH;55165;888015;2014-11-04;979;E;2014-08-06;979;R;01;1998-12-31
03003;AMA-3;1970;0019;;BJ;;305881;1926472;2015-08-04;1483;R;2015-04-28;1477;R;02;2013-02-27
03003;AMA-3;1970;0019;; 7;DCH;105830;1444707;2015-08-10;1073;R;2015-05-05;1042;R;01;2004-10-01
03003;AMA-3;1970;0020;;;;105852;1287604;2015-08-06;2127;R;2015-04-29;2034;R;10;2004-01-01
03003;AMA-3;1970;0019;; 6;IZD;105834;1174408;2015-08-06;3304;R;2015-05-05;3263;R;01;2002-09-23
03003;AMA-3;1970;0019;; 6;DCH;48316;888048;2015-08-06;725;R;2015-05-12;721;R;01;1998-12-31
03003;AMA-3;1970;0019;; 3;DCH;63957;887976;2015-08-06;3145;R;2015-05-05;3131;R;01;1998-12-31
03003;AMA-3;1970;0019;; 5;DCH;396599;1993481;2015-08-06;1109;R;2015-02-01;1066;R;01;2014-09-10
03003;AMA-3;1970;0019;; 3;IZD;339502;1675127;2015-08-06;2538;R;2015-05-05;2485;R;01;2007-12-11
03003;AMA-3;1970;0018;; 1;DCH;151101;2018654;2015-08-06;1178;R;2015-04-28;1111;R;01;2014-12-13
03003;AMA-3;1970;0020;;BJ;;105852;27872;2015-08-06;596;R;2015-04-29;591;R;02;1980-01-01
03003;AMA-3;1970;0018;; 4;DCH;320715;770381;2015-08-06;860;R;2015-04-28;831;R;01;1997-04-30
03003;AMA-3;1780;0003;;BJ; 10;414185;1967855;2015-07-27;151;R;2015-04-24;137;R;02;2014-02-18
03003;AMA-3;1970;0019;; 4;DCH;161036;887998;2015-08-06;3398;R;2015-05-05;3355;R;01;1998-12-31
03003;AMA-3;1970;0019;; 7;IZD;419996;1929631;2015-08-06;88;R;2015-05-05;86;R;01;2013-05-29
03003;AMA-3;1970;0019;; 5;IZD;163749;1909957;2015-08-06;3341;R;2015-05-05;3066;E;01;2012-06-30
03003;AMA-3;1970;0014;;BJ;;105800;1983162;2015-08-06;1081;R;2015-04-29;1072;R;02;2014-08-31
03003;AMA-3;1970;0015;; 1;  C;393636;1788210;2015-08-06;427;R;2015-05-05;416;R;01;2010-01-04
03003;AMA-3;1970;0015;; 1;  B;137706;1590337;2015-08-06;268;R;2015-05-05;247;R;01;2006-04-21
03003;AMA-3;1970;0015;; 1;  A;110778;1573210;2015-08-06;1136;R;2015-05-05;1116;R;01;2006-01-01
03003;AMA-3;1970;0015;;;;105791;1122781;2015-08-06;2;E;2015-05-05;2;E;01;2002-01-23
03003;AMA-3;1970;0014;;BJ;;294017;1486649;2015-08-06;1488;R;2015-04-29;1486;R;02;2005-06-29
03003;AMA-3;1970;0014;;BJ;;61209;1287535;2015-08-06;696;R;2015-04-29;683;R;02;2004-01-01
03003;AMA-3;1970;0018;; 1;IZD;325241;784486;2015-08-06;1378;R;2015-04-28;1344;R;01;1997-11-10
03003;AMA-3;1970;0014;;BJ;;140481;421974;2015-08-06;6142;R;2015-04-28;6071;R;03;1990-05-01
03003;AMA-3;1970;0015;; 3;DCH;92280;1287546;2015-08-06;2795;R;2015-05-05;2739;R;01;2004-01-01
03003;AMA-3;1970;0014;;BJ;;11741;27770;2014-08-30;1049;E;2014-08-06;1049;R;02;1980-01-01
03003;AMA-3;1970;0014;; 7;;105781;1057721;2015-08-06;254;E;2015-05-05;254;E;01;2001-02-22
03003;AMA-3;1970;0014;; 6;;105781;1057710;2015-08-06;5607;R;2015-02-06;5537;R;01;2001-02-22
03003;AMA-3;1970;0014;; 5;IZD;427317;2001276;2015-08-14;620;R;2015-05-05;616;E;01;2014-03-19
03003;AMA-3;1970;0014;; 5;IZD;161587;1287513;2015-02-06;616;E;2014-11-04;616;E;01;2004-01-01
03003;AMA-3;1970;0014;; 5;DCH;105760;1287502;2015-05-14;693;R;2014-11-04;678;R;01;2004-01-01
03003;AMA-3;1970;0014;; 4;IZD;105776;1287499;2015-08-06;2611;R;2015-05-11;2579;R;01;2004-01-01
03003;AMA-3;1970;0014;;BJ;;137960;1823700;2015-08-06;31;R;2015-04-29;31;R;02;2012-05-04
03003;AMA-3;1970;0015;;BJ;;288704;743274;2015-08-06;6696;R;2015-04-28;6666;R;02;1994-09-14
03003;AMA-3;1970;0018;; 3;DCH;20203;770278;2015-08-06;1311;R;2015-04-28;1290;R;01;1997-04-30
03003;AMA-3;1970;0018;; 2;  B;105611;905861;2015-08-06;2999;R;2015-04-28;2967;R;01;1998-08-10
03003;AMA-3;1970;0018;; 2;  A;195965;1592593;2015-08-06;397;R;2015-04-28;390;R;01;2006-04-01
03003;AMA-3;1970;0023;;;;105872;770074;2015-08-06;73;R;2015-05-04;72;R;01;1997-04-30
03003;AMA-3;1970;0018;; 1;DCH;324315;1008036;2015-04-28;1111;R;2015-02-06;1051;R;01;2000-08-14
03003;AMA-3;1970;0023;;BJ;;105891;27996;2015-08-06;6154;R;2015-04-29;6050;R;02;1980-01-01
03003;AMA-3;1970;0018;;;;324314;770052;2015-08-06;14;R;2015-04-28;14;R;01;1997-04-30
03003;AMA-3;1970;0015;; 2;DCH;391811;1852482;2015-05-07;511;R;2015-03-09;502;R;01;2011-09-20
03003;AMA-3;1970;0015;; 2;IZD;280036;1122792;2015-08-06;2027;R;2015-05-05;1997;R;01;2002-01-23
03003;AMA-3;1970;0015;; 5;IZD;151100;1122861;2015-08-06;1787;E;2015-05-05;1787;E;01;2002-01-23
03003;AMA-3;1970;0015;; 5;DCH;280036;1822467;2015-08-06;325;R;2015-05-06;320;R;01;2010-03-13
03003;AMA-3;1970;0015;; 5;CTR;60142;1287580;2015-08-10;363;R;2015-06-01;359;R;01;2004-01-01
03003;AMA-3;1970;0015;; 4;IZD;174951;1287568;2015-08-06;2464;R;2015-05-05;2392;R;01;2004-01-01
03003;AMA-3;1970;0015;; 4;DCH;136831;1205893;2015-08-06;1068;R;2015-05-27;1061;R;01;2002-12-13
03003;AMA-3;1970;0015;; 3;IZD;175791;1287557;2015-08-06;956;R;2015-05-06;941;R;01;2004-01-01
03003;AMA-3;1970;0018;; 3;IZD;127201;1421659;2015-08-06;715;R;2015-04-28;702;R;01;2004-10-25
03003;AMA-3;1970;0017;;BJ;IZD;185594;1613363;2015-08-03;528;R;2015-04-24;523;R;02;2006-09-30
03003;AMA-3;1780;0005;; 5;  A;385627;1629055;2015-08-03;1522;R;2015-04-24;1522;R;01;2006-11-10
03003;AMA-3;1780;0005;; 3;  F;350712;1802987;2015-08-03;2961;R;2015-04-24;2949;R;01;2010-07-07
03003;AMA-3;1780;0005;; 4;  A;189198;1285915;2015-08-03;680;R;2015-04-24;638;R;01;2004-01-01
03003;AMA-3;1780;0005;; 4;  B;131341;1330440;2015-08-03;1672;R;2015-04-24;1660;R;01;2003-12-10
03003;AMA-3;1780;0005;; 4;  C;318667;1285926;2015-08-03;569;R;2015-04-24;530;R;01;2004-01-01
03003;AMA-3;1780;0005;; 4;  D;102327;42404;2015-08-03;2517;R;2015-04-24;2474;R;01;1980-01-01
03003;AMA-3;1780;0005;; 6;  B;102338;42506;2015-08-03;3668;R;2015-04-24;3630;R;01;1980-01-01
03003;AMA-3;1780;0005;; 4;  F;408297;1836084;2015-08-03;689;R;2015-04-24;669;R;01;2011-03-31
03003;AMA-3;1780;0005;; 3;  C;292293;1868298;2015-08-03;3301;R;2015-04-24;3272;R;01;2011-09-14
03003;AMA-3;1780;0005;; 5;  B;102330;42448;2015-08-03;4166;R;2015-04-24;4109;R;01;1980-01-01
03003;AMA-3;1780;0005;; 5;  C;4245;1286338;2015-08-03;1084;R;2015-04-24;1084;R;01;2004-01-01
03003;AMA-3;1780;0005;; 5;  D;281157;1997461;2015-08-03;987;R;2015-04-24;986;R;01;2014-06-14
03003;AMA-3;1780;0005;; 5;  E;102335;1286350;2015-08-03;690;R;2015-04-24;676;R;01;2004-01-01
03003;AMA-3;1780;0005;; 5;  F;4248;1690806;2015-08-03;993;R;2015-04-24;983;R;01;2008-04-17
03003;AMA-3;1970;0023;; 5;IZD;344074;984399;2015-08-06;7385;R;2015-05-04;7332;R;01;2000-05-12
03003;AMA-3;1780;0005;; 4;  E;102328;42415;2015-08-03;1881;R;2015-04-24;1869;R;01;1980-01-01
03003;AMA-3;1780;0005;; 2;  D;428468;2003705;2015-08-03;1085;R;2015-04-24;1070;R;01;2014-11-05
03003;AMA-3;1780;0005;; 1;  C;67337;1285835;2015-08-03;1046;R;2015-04-24;1024;R;01;2004-01-01
03003;AMA-3;1780;0005;; 1;  D;102310;42222;2015-08-03;2227;R;2015-04-24;2224;R;01;1980-01-01
03003;AMA-3;1780;0005;; 1;  E;102309;42233;2015-08-03;5238;R;2015-04-24;5197;R;01;1980-01-01
03003;AMA-3;1780;0005;; 1;  F;102311;1285857;2015-08-03;454;R;2015-04-24;428;R;01;2004-01-01
03003;AMA-3;1780;0005;; 2;  A;4225;1285868;2015-08-03;2244;R;2015-04-24;2206;R;01;2004-01-01
03003;AMA-3;1780;0005;; 2;  B;102313;1285879;2015-08-03;1629;R;2015-04-24;1585;R;01;2004-01-01
03003;AMA-3;1780;0005;; 3;  E;4235;1285904;2015-08-03;1341;R;2015-04-24;1313;R;01;2004-01-01
03003;AMA-3;1780;0005;; 2;  D;4228;1001637;2015-02-04;1060;R;2014-11-03;1046;R;01;2000-04-01
03003;AMA-3;1780;0005;; 3;  D;102321;42346;2015-08-03;3650;R;2015-04-24;3613;R;01;1980-01-01
03003;AMA-3;1780;0005;; 2;  E;102316;42299;2015-08-03;4172;R;2015-04-24;4140;R;01;1980-01-01
03003;AMA-3;1780;0005;; 2;  F;151577;1447660;2015-08-03;471;R;2015-04-24;471;R;01;2004-10-01
03003;AMA-3;1780;0005;; 3;  A;4231;42313;2015-08-03;1983;R;2015-04-24;1944;R;01;1980-01-01
03003;AMA-3;1780;0005;; 3;  B;152643;1882474;2015-08-03;1397;R;2015-04-24;1364;R;01;2011-12-27
03003;AMA-3;1780;0005;; 6;  C;102339;1286394;2015-08-03;154;R;2015-04-24;152;R;01;2004-01-01
03003;AMA-3;1780;0005;; 2;  C;102314;42277;2015-08-03;2492;R;2015-04-24;2468;R;01;1980-01-01
03003;AMA-3;1970;0023;; 6;;57272;770165;2015-08-06;1217;R;2015-05-05;1176;R;01;1997-04-30
03003;AMA-3;1780;0005;; 1;  A;102305;1007806;2015-08-03;1266;R;2015-04-24;1224;R;01;2000-08-14
