iter	Passed	Remaining
0	10	6460
1	20	6229
2	33	6612
3	43	6491
4	53	6344
5	63	6243
6	74	6269
7	84	6216
8	95	6270
9	105	6238
10	116	6253
11	128	6274
12	138	6264
13	173	7282
14	187	7324
15	198	7236
16	209	7185
17	220	7134
18	238	7294
19	250	7275
20	260	7180
21	269	7075
22	281	7056
23	293	7049
24	304	7002
25	314	6941
26	325	6914
27	330	6753
28	341	6714
29	348	6626
30	357	6570
31	367	6529
32	378	6499
33	388	6465
34	398	6435
35	408	6396
36	416	6335
37	426	6314
38	437	6297
39	445	6236
40	457	6243
41	468	6223
42	477	6184
43	486	6147
44	496	6120
45	507	6110
46	517	6092
47	527	6061
48	535	6020
49	543	5981
50	552	5942
51	561	5916
52	572	5911
53	582	5890
54	591	5859
55	599	5824
56	609	5809
57	619	5784
58	651	5974
59	661	5956
60	671	5929
61	681	5909
62	689	5881
63	705	5911
64	717	5905
65	727	5883
66	736	5855
67	744	5825
68	752	5791
69	762	5771
70	771	5751
71	782	5737
72	793	5730
73	803	5713
74	812	5686
75	819	5652
76	828	5628
77	839	5616
78	850	5606
79	861	5598
80	871	5583
81	880	5564
82	889	5537
83	898	5519
84	909	5510
85	919	5492
86	929	5477
87	938	5461
88	949	5449
89	958	5432
90	969	5420
91	980	5412
92	1006	5485
93	1017	5477
94	1032	5490
95	1052	5526
96	1091	5660
97	1102	5648
98	1113	5637
99	1123	5618
100	1135	5610
101	1153	5631
102	1165	5621
103	1175	5605
104	1189	5605
105	1199	5590
106	1211	5581
107	1221	5565
108	1235	5564
109	1247	5556
110	1255	5532
111	1264	5508
112	1272	5485
113	1284	5473
114	1296	5466
115	1307	5456
116	1319	5445
117	1329	5430
118	1338	5410
119	1347	5390
120	1358	5377
121	1369	5367
122	1379	5350
123	1386	5322
124	1396	5308
125	1405	5287
126	1414	5269
127	1426	5260
128	1438	5250
129	1448	5237
130	1457	5217
131	1467	5201
132	1475	5179
133	1488	5175
134	1499	5165
135	1509	5150
