iter	RMSE
0	76729.30062
1	74128.26705
2	71814.83662
3	69516.44357
4	67272.09572
5	65156.00927
6	63139.90185
7	61221.07271
8	59428.4209
9	57692.86188
10	56120.73371
11	54556.67792
12	53076.12092
13	51578.20716
14	50277.77659
15	49166.84147
16	47891.4021
17	46665.11553
18	45545.74819
19	44546.67077
20	43556.30139
21	42551.66066
22	41607.26556
23	40694.80081
24	39897.42037
25	39080.68227
26	38308.89323
27	37569.67649
28	36872.2629
29	36156.99361
30	35478.99764
31	34829.68897
32	34271.63671
33	33750.15786
34	33244.13616
35	32681.25286
36	32120.98405
37	31615.95272
38	31147.88564
39	30719.68942
40	30312.4939
41	29935.08001
42	29532.88771
43	29186.34778
44	28815.80926
45	28548.02968
46	28225.0193
47	27896.45396
48	27621.76897
49	27358.9084
50	27098.67002
51	26837.14369
52	26529.60559
53	26295.74195
54	26038.00433
55	25779.48555
56	25577.58543
57	25333.06543
58	25101.99964
59	24935.56901
60	24741.92746
61	24587.28408
62	24401.14708
63	24225.43638
64	24000.70491
65	23845.26199
66	23674.79582
67	23515.45208
68	23365.3461
69	23188.17343
70	23060.43476
71	22900.11143
72	22739.35525
73	22597.21639
74	22473.82147
75	22350.44898
76	22249.97205
77	22133.35492
78	22004.18217
79	21919.44329
80	21808.04305
81	21698.98647
82	21604.40571
83	21498.65396
84	21390.44351
85	21293.55864
86	21197.54642
87	21102.52501
88	21016.11274
89	20920.78206
90	20803.96505
91	20698.29768
92	20637.33727
93	20583.9786
94	20493.60463
95	20424.91547
96	20355.42888
97	20289.57357
98	20219.59849
99	20173.0489
100	20106.82959
101	20007.87635
102	19958.14357
103	19902.05662
104	19809.20074
105	19709.57783
106	19649.14506
107	19590.492
108	19514.80938
109	19464.01755
110	19382.14794
111	19316.26827
112	19226.09776
113	19177.03662
114	19082.31624
115	19048.5842
116	19004.20731
117	18954.4556
118	18905.23708
119	18857.64401
120	18784.93205
121	18722.23347
122	18674.09297
123	18624.42514
124	18575.00122
125	18508.37265
126	18433.06513
127	18388.06366
128	18340.95225
129	18295.79538
130	18267.65464
131	18226.08757
132	18187.83438
133	18128.28351
134	18080.35561
135	18047.06227
136	18002.13019
137	17938.41913
138	17890.34934
139	17875.0211
140	17835.75831
141	17803.13394
142	17762.61204
