iter	Passed	Remaining
0	2	89722
1	6	98830
2	8	87322
3	11	89165
4	14	87223
5	17	88324
6	20	88145
7	23	89476
8	27	90309
9	31	95035
10	34	95149
11	38	95019
12	41	95350
13	44	95299
14	47	94591
15	50	94374
16	53	94374
17	57	95141
18	60	95219
19	63	95398
20	66	94781
21	68	93780
22	71	93193
23	74	92779
24	76	92155
25	79	91521
26	82	92105
27	85	91719
28	88	90976
29	90	90636
30	93	90327
31	96	89958
32	98	89454
33	100	88807
34	103	88300
35	105	87711
36	107	87085
37	109	86436
38	111	85916
39	114	85469
40	116	84955
41	118	84481
42	120	83969
43	122	83667
44	126	83898
45	128	83423
46	130	83115
47	132	82643
48	134	82344
49	136	82015
50	138	81359
51	140	81138
52	144	81440
53	146	81213
54	148	80955
55	150	80613
56	153	80617
57	155	80531
58	158	80416
59	160	80262
60	163	80216
61	165	80035
62	168	79879
63	170	79933
64	173	80085
65	176	80132
66	178	79932
67	181	80011
68	184	80013
69	186	79864
70	189	79775
71	192	79868
72	195	80101
73	198	80088
74	200	80006
75	203	80036
76	205	79994
77	208	79952
78	211	80006
79	214	80102
80	217	80292
81	219	80240
82	222	80228
83	225	80229
84	228	80314
85	230	80195
86	233	80144
87	235	80111
88	238	80026
89	240	80010
90	243	79924
91	245	79966
92	249	80100
93	251	80037
94	253	79850
95	256	79871
96	260	80207
97	262	80207
98	265	80203
99	268	80232
100	270	80175
101	273	80039
102	274	79555
103	276	79423
104	278	79338
105	280	79200
106	283	79062
107	285	78950
108	287	78828
109	289	78720
110	291	78600
111	294	78559
112	297	78581
113	299	78516
114	301	78421
115	304	78334
116	307	78429
117	309	78369
118	311	78265
119	313	78123
120	316	78050
121	318	77965
122	320	77874
123	322	77786
124	325	77724
125	327	77651
126	330	77700
127	332	77578
128	334	77524
129	337	77498
130	340	77534
131	342	77460
132	344	77382
133	346	77328
134	349	77246
135	351	77145
136	353	77074
137	355	76967
138	357	76898
139	360	76832
140	362	76772
141	364	76716
142	366	76621
143	369	76557
144	371	76516
145	374	76505
146	376	76438
147	378	76354
148	380	76310
149	383	76265
150	385	76273
151	388	76382
152	391	76294
153	393	76221
154	395	76158
155	397	76077
156	399	75975
157	401	75892
158	404	75826
159	406	75728
160	408	75665
161	410	75607
162	413	75657
163	415	75597
164	417	75518
165	419	75449
166	422	75427
167	424	75364
168	426	75308
169	428	75219
170	430	75168
171	433	75114
172	436	75267
173	438	75215
174	440	75143
175	442	75059
176	445	74979
177	447	74923
178	450	75003
179	452	75000
180	455	74980
181	457	74930
182	459	74868
183	461	74807
184	463	74705
185	466	74714
186	469	74792
187	471	74751
