ID,X314,X119,X118,X127,X6_g,X6_j,X3_c,X51,X27,X58,X100,X324,X351,y
0,0,1,1,0,0,1,0,0,0,1,0,1,0,130.81
6,0,1,1,1,0,0,0,1,1,0,1,0,0,88.53
7,0,0,0,0,0,1,1,1,1,1,0,1,0,76.26
9,0,0,0,0,0,0,0,0,1,0,0,0,0,80.62
13,0,0,0,0,0,0,0,1,1,0,0,0,0,78.02
18,0,1,1,1,0,0,1,1,0,0,1,0,0,92.93
24,0,0,0,1,0,0,0,1,0,1,0,1,0,128.76
25,0,1,1,1,0,1,0,1,1,0,1,0,1,91.91
27,1,1,1,0,0,0,0,1,1,1,1,1,1,108.67
30,1,1,1,0,0,0,1,1,0,1,1,1,0,126.99
31,1,0,0,0,0,0,0,1,1,0,1,0,0,102.09
32,0,0,0,1,0,0,0,1,0,1,0,1,0,98.12
34,0,0,0,1,1,0,1,1,1,1,0,1,0,82.62
36,0,0,0,1,0,0,0,1,0,1,0,1,0,94.12
37,0,1,1,1,1,0,0,1,1,1,1,1,0,99.15
38,0,0,0,1,0,0,0,0,1,0,1,0,0,93.64
39,0,0,0,1,0,0,0,1,0,1,0,1,0,106.1
40,1,0,0,0,0,0,1,1,0,0,0,0,0,114.13
44,0,1,1,1,0,0,1,0,1,1,1,1,0,89.81
47,0,0,0,1,0,0,0,1,1,1,1,1,1,90.81
48,0,1,1,1,0,1,1,0,1,1,1,1,1,90.56
49,0,1,1,1,0,1,0,1,1,0,1,0,0,94.57
50,1,1,1,0,0,1,0,1,1,0,0,0,1,108.14
52,1,1,1,0,0,1,1,0,1,1,0,1,0,120.77
54,0,0,0,1,0,0,0,1,1,1,1,1,1,84.84
60,0,1,1,1,0,0,1,0,1,1,1,1,1,93.59
61,1,0,0,0,1,0,0,1,1,0,1,0,1,104.07
62,0,1,1,1,0,0,1,1,1,1,1,1,1,89.37
66,0,1,1,1,0,0,1,1,1,1,1,1,1,90.08
67,1,1,1,0,0,1,1,0,1,1,0,1,0,128.19
68,0,0,0,0,1,0,0,1,1,1,1,1,0,76.01
70,1,1,1,0,0,0,1,1,1,1,1,1,0,107.86
74,1,1,1,0,0,1,1,0,1,1,0,1,0,106.87
75,0,1,1,1,0,0,0,1,1,0,1,0,1,104.85
79,1,1,1,0,0,1,1,1,0,1,1,1,0,114.78
80,0,1,1,1,0,1,1,0,0,1,1,1,0,91.56
81,1,0,0,0,1,0,0,1,1,0,1,0,1,98.16
86,1,1,1,0,0,1,0,1,0,1,0,1,1,117.31
90,0,0,0,0,1,0,0,1,1,1,1,1,0,79.0
92,1,1,1,0,0,1,1,1,0,0,0,0,0,110.76
100,1,0,0,0,0,0,0,1,1,0,1,0,1,101.44
102,0,1,1,1,0,1,0,0,0,1,1,1,0,91.98
106,0,1,1,1,1,0,1,0,1,1,1,1,0,98.08
108,0,0,0,1,0,1,1,0,1,1,1,1,0,85.44
109,1,1,1,0,0,1,1,0,1,1,0,1,0,110.52
