"extralinea1","extralinea2","parametro1","parametro2","parametro3","parametro4","parametro5","parametro6","parametro7","parametro8","parametro9","parametro10","parametro11","parametro12","parametro13","parametro14","Calificacion"
"no","no",0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4,"Incorrecto"
"no","no",0,187.7,127,31.91,163.4,148,13.89,196,94,8.82,9.1,5,2.46,0,"Correcto"
"no","no",0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,"Correcto"
"no","no",0,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,"Correcto"
"no","no",0,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08,2,"Correcto"
"no","no",0,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,3,"Correcto"
"no","no",0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10,5,2.7,1,"Correcto"
"yes","yes",33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3,"Correcto"
"no","no",0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3,1,"Correcto"
"yes","yes",41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0,"Incorrecto"
"no","no",0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3,"Correcto"
"no","no",0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,"Correcto"
"yes","no",0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,"Correcto"
"no","no",0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4,"Incorrecto"
"no","no",0,201.1,99,34.19,303.5,74,25.8,224,119,10.08,13.2,2,3.56,1,"Correcto"
"no","yes",24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1,"Correcto"
"no","no",0,143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,11.1,2,3,1,"Correcto"
"no","no",0,203.4,100,34.58,190.9,104,16.23,196,119,8.82,8.9,4,2.4,0,"Incorrecto"
"no","no",0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3,"Correcto"
"no","no",0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13,4,3.51,0,"Correcto"
"no","no",0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1,"Incorrecto"
"no","no",0,178.3,137,30.31,189,76,16.07,129.1,102,5.81,14.6,5,3.94,0,"Correcto"
"no","no",0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,"Correcto"
"no","no",0,161,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,4,"Correcto"
"no","no",0,210.2,92,35.73,227.3,77,19.32,200.1,116,9,13.1,7,3.54,1,"Correcto"
"no","no",0,145.5,92,24.74,217.7,114,18.5,146.9,123,6.61,10.9,2,2.94,3,"Correcto"
"no","no",0,197,109,33.49,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46,1,"Correcto"
"no","yes",36,183.2,117,31.14,126.8,76,10.78,263.3,71,11.85,11.2,8,3.02,1,"Correcto"
"no","yes",23,205,101,34.85,152,60,12.92,158.6,59,7.14,10.2,5,2.75,2,"Correcto"
"no","yes",39,200.3,68,34.05,220.4,97,18.73,253.8,116,11.42,10.5,4,2.84,0,"Correcto"
"yes","no",0,271.5,87,46.16,216.3,126,18.39,121.1,105,5.45,11.7,4,3.16,1,"Correcto"
"no","no",0,193.8,99,32.95,221.4,125,18.82,172.3,67,7.75,10.6,6,2.86,1,"Correcto"
"no","no",0,226,112,38.42,248.5,118,21.12,140.5,142,6.32,6.9,11,1.86,1,"Correcto"
"no","no",0,217.1,110,36.91,241.5,111,20.53,253.5,103,11.41,12,6,3.24,0,"Correcto"
"no","no",0,219.2,92,37.26,149.4,125,12.7,244.7,104,11.01,6.1,5,1.65,0,"Correcto"
"no","no",0,147.1,91,25.01,190.4,107,16.18,195.2,115,8.78,12.2,3,3.29,0,"Correcto"
"yes","yes",23,197.1,125,33.51,214.5,136,18.23,282.2,103,12.7,9.5,5,2.57,4,"Correcto"
"no","no",0,186.1,98,31.64,254.3,57,21.62,214,127,9.63,14.6,7,3.94,2,"Correcto"
"no","yes",23,289.5,52,49.22,166.6,111,14.16,119.1,88,5.36,9.5,4,2.57,1,"Correcto"
"no","yes",23,198.1,86,33.68,177,86,15.05,180.5,92,8.12,6.8,6,1.84,1,"Correcto"
